branch,threads,status,elapsed_ms,wmma_core_m,wmma_core_n,wmma_core_k,wmma_tile_m,wmma_tile_n,wmma_tile_k,matrix_m,matrix_n,matrix_k,instrs,cycles,ipc
mx_dse_1,4,PASSED,241,2,2,2,8,4,16,32,32,32,10632,63046,0.169
mx_dse_1,8,PASSED,304,4,2,2,8,8,32,32,32,32,4440,73370,0.061
mx_dse_1,16,PASSED,359,4,4,4,16,8,32,32,32,32,2480,70406,0.035
mx_dse_1,32,PASSED,911,8,4,4,16,16,64,32,32,64,1680,106883,0.016
mx_dse_2,4,PASSED,186,2,2,2,8,4,16,32,32,32,9160,49736,0.184
mx_dse_2,8,PASSED,228,4,2,2,8,8,32,32,32,32,3832,58109,0.066
mx_dse_2,16,PASSED,512,4,4,4,16,8,32,32,32,32,1928,48340,0.040
mx_dse_2,32,PASSED,796,8,4,4,16,16,64,32,32,64,1300,82175,0.016
bug_fixes,4,PASSED,72,2,2,2,8,4,16,32,32,32,6600,18098,0.365
bug_fixes,8,PASSED,109,4,2,2,8,8,32,32,32,32,2872,29045,0.099
bug_fixes,16,PASSED,109,4,4,4,16,8,32,32,32,32,1456,19792,0.074
bug_fixes,32,PASSED,392,8,4,4,16,16,64,32,32,64,1060,50185,0.021
temp_mx_dev,4,PASSED,205,2,2,2,8,4,16,32,32,32,15531,60291,0.258
temp_mx_dev,8,PASSED,263,4,2,2,8,8,32,32,32,32,7003,68662,0.102
temp_mx_dev,16,PASSED,367,4,4,4,16,8,32,32,32,32,3427,69324,0.049
temp_mx_dev,32,PASSED,993,8,4,4,16,16,64,32,32,64,2667,116667,0.023
mx_dse_opt,4,PASSED,101,2,2,2,8,4,16,32,32,32,8776,38250,0.229
mx_dse_opt,8,PASSED,159,4,2,2,8,8,32,32,32,32,3672,50501,0.073
mx_dse_opt,16,PASSED,165,4,4,4,16,8,32,32,32,32,1864,42489,0.044
mx_dse_opt,32,PASSED,458,8,4,4,16,16,64,32,32,64,1260,72316,0.017
