branch,threads,instrs,cycles,ipc
mx_dse_1,4,10632,63046,0.169
mx_dse_1,8,4440,73370,0.061
mx_dse_1,16,2480,70406,0.035
mx_dse_1,32,1680,106883,0.016
mx_dse_2,4,9160,49736,0.184
mx_dse_2,8,3832,58109,0.066
mx_dse_2,16,1928,48340,0.040
mx_dse_2,32,1300,82175,0.016
bug_fixes,4,6600,18098,0.365
bug_fixes,8,2872,29045,0.099
bug_fixes,16,1456,19792,0.074
bug_fixes,32,1060,50185,0.021
temp_mx_dev,4,15531,60291,0.258
temp_mx_dev,8,7003,68662,0.102
temp_mx_dev,16,3427,69324,0.049
temp_mx_dev,32,2667,116667,0.023
mx_dse_opt,4,8776,38250,0.229
mx_dse_opt,8,3672,50501,0.073
mx_dse_opt,16,1864,42489,0.044
mx_dse_opt,32,1260,72316,0.017
