app,mode,threads,fetch_pct,ibuf_pct,scrb_pct,opds_pct,alu_pct,lsu_pct,sfu_pct,fpu_pct,tcu_pct
sgemm_tcu,NA,4,0,33,185,17,0,31,0,1,13
sgemm_tcu2,RS,4,0,38,139,15,0,41,0,0,4
sgemm_tcu2,SS,4,0,35,105,20,0,35,0,1,6
sgemm_tcu,NA,8,0,57,58,11,0,69,0,0,6
sgemm_tcu2,RS,8,0,66,56,7,0,75,0,1,3
sgemm_tcu2,SS,8,0,61,49,16,0,69,0,1,4
sgemm_tcu,NA,16,0,41,79,5,0,64,0,0,2
sgemm_tcu2,RS,16,0,55,96,9,0,71,0,0,1
sgemm_tcu2,SS,16,0,55,87,11,0,69,0,0,1
sgemm_tcu,NA,32,0,56,73,15,0,79,0,0,1
sgemm_tcu2,RS,32,0,60,61,22,0,73,0,0,0
sgemm_tcu2,SS,32,0,58,61,23,0,72,0,0,0
